active_dim_1,active_dim_2,c,epochs,final_train_mse,final_val_mse,init_method,inp_dim,linear_readout,lmda,load_model,lr,model_path,model_scaling,n_train1,n_train2,one_task,overlap_bool,pretrain_overlap,same_signs,save_path,scaling,seed,threshold,w_scaling
40.0,5.0,0.001,100000.0,9.554838864556103e-11,0.3317102789878845,complex,1000.0,0.0,-0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=-0.0010000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,8.738294116072963e-11,0.5909313559532166,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.26596299688498e-11,0.8609645366668701,complex,1000.0,0.0,1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000100000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.43631006666834e-11,0.859024703502655,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.358637476086784e-11,0.8583617210388184,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=-0.0000100000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,8.422159497589732e-11,0.4970399439334869,complex,1000.0,0.0,0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0010000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,2.2025131718450552e-11,0.9833256602287292,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,9.413519963530348e-11,0.5790548920631409,complex,1000.0,0.0,-0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=-0.1000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.243526777336084e-11,1.5743216276168823,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=-0.0000100000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=-0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,5.388978152609525e-11,1.01385235786438,complex,1000.0,0.0,0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.1000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.418570090513612e-11,1.56836199760437,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000000000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.309227694265232e-11,1.562583327293396,complex,1000.0,0.0,1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000100000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.053273408721195e-11,1.8073828220367432,complex,1000.0,0.0,-0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=-0.0010000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=-0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,8.855968736121156e-11,1.1567612886428833,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,8.792908762211836e-11,1.2625843286514282,complex,1000.0,0.0,0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0010000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.952717122674315e-11,0.0957789942622184,complex,1000.0,0.0,1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000100000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,5.284841314567856e-11,0.98648339509964,complex,1000.0,0.0,0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.1000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,3.8882248115656986e-11,0.9846736192703248,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.921003601975896e-11,0.0885849520564079,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.953443624866054e-11,0.0781080052256584,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=-0.0000100000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,9.497309882977588e-11,1.5907050371170044,complex,1000.0,0.0,-0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=-0.1000000000--init_method=complex/model.pt,0.001,1024.0,16.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=16--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=-0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,1.5093183647341135e-11,0.9378169775009156,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.5069924155311e-11,0.246581956744194,complex,1000.0,0.0,0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0010000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,3.4425740036425616e-11,0.9738352298736572,complex,1000.0,0.0,0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.1000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.775497772368523e-11,0.3740444779396057,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.841942538724168e-11,2.5140039920806885,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=-0.0000100000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=-0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,9.951494489568448e-11,0.0711510255932807,complex,1000.0,0.0,-0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=-0.1000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.95320770247332e-11,0.0596385486423969,complex,1000.0,0.0,-0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=-0.0010000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.764217906438331e-11,2.002637386322021,complex,1000.0,0.0,1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000100000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.370823561560826e-11,1.1496531963348389,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.784221349784515e-11,2.13487195968628,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000000000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.824336483221784e-11,2.287508249282837,complex,1000.0,0.0,-0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=-0.0010000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=-0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,2.7981396713561143e-11,0.975735366344452,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,5.024317073498708e-11,0.9694131016731262,complex,1000.0,0.0,0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.1000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.048048421611554e-11,1.2860883474349976,complex,1000.0,0.0,0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0010000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,9.682241813857571e-11,1.9608454704284668,complex,1000.0,0.0,-0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=-0.1000000000--init_method=complex/model.pt,0.001,1024.0,32.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=32--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=-0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.898004638131396e-11,0.1724221259355545,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,1.0009527928733776e-10,5.642215546686202e-05,complex,1000.0,0.0,1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000100000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.991721339197568e-11,1.916929795697797e-05,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,3.387781166708237e-10,1.2803975550923496e-06,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=-0.0000100000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,3.7117170448297527e-10,5.125255597704381e-07,complex,1000.0,0.0,-0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=-0.0010000000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,5.363005525782505e-11,0.8900859355926514,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,1.6870390501244614e-11,0.9503534436225892,complex,1000.0,0.0,0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=0.1000000000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.001,100000.0,9.814805218555378e-11,0.0383199043571949,complex,1000.0,0.0,0.001,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-03--lmda=0.0010000000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=0.0010000000--c=1.0e-03--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,0.1,100000.0,3.1216318419069456e-10,2.199518576162518e-06,complex,1000.0,0.0,-0.1,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-01--lmda=-0.1000000000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,yes,5.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=yes--lmda=-0.1000000000--c=1.0e-01--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.952366014642776e-11,1.251945972442627,complex,1000.0,0.0,-1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=-0.0000100000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=-0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.921839738691316e-11,0.9608018398284912,complex,1000.0,0.0,0.0,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000000000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000000000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
40.0,5.0,1e-05,100000.0,9.947528911702364e-11,0.92367285490036,complex,1000.0,0.0,1e-05,1.0,0.1,data/diagonal/pretrain/seed=0--active_dim=40--c=1.0e-05--lmda=0.0000100000--init_method=complex/model.pt,0.001,1024.0,64.0,1.0,no,0.0,1.0,data/diagonal/sparse_overlap/init_method=complex--seed=0--n_train2=64--active_dim_2=5--load_model=True--linear_readout=False--one_task=True--overlap_bool=no--lmda=0.0000100000--c=1.0e-05--model_scaling=0.001--w_scaling=1.0--same_signs=True/,0.001,0.0,1e-10,1.0
